Año;Mes;Mes Corto;Mes Numero;Codigo IPRESS;Clinica Descripcion;Region;Provincia;Distrito;Competencia;Cant Atenciones Medicas;Cirugia Mayor Efectiva;Cirugia Menor Efectiva
2026;MAYO;MAY;5;30606;Visana Clinica Especializada Oftalmologica;LIMA;LIMA;COMAS;LIMA NORTE;1170;22;1
2026;MAYO;MAY;5;9505;Oftalmosalud - San Isidro;LIMA;LIMA;SAN ISIDRO;LIMA CENTRO;7074;404;110
2026;MAYO;MAY;5;18626;Oftalmica;LIMA;LIMA;SAN BORJA;LIMA CENTRO;2602;176;46
2026;MAYO;MAY;5;11372;Futuro Vision ;LIMA;LIMA;SAN BORJA;LIMA CENTRO;1312;0;72
2026;MAYO;MAY;5;15716;Clinica Vista;LIMA;LIMA;JESUS MARIA;LIMA CENTRO;607;;
2026;MAYO;MAY;5;20230;Clinica de ojos Global Laser;LIMA;LIMA;PUEBLO LIBRE;LIMA CENTRO;1161;0;138
2026;MAYO;MAY;5;;Clinica OftalmoMédic - Lima Norte;LIMA;LIMA;LOS OLIVOS;LIMA NORTE;573;0;
2026;JUNIO;JUN;6;12429;Clinica Oftalmologica Wong;LIMA;LIMA;LOS OLIVOS;LIMA NORTE;557;;
2026;JUNIO;JUN;6;28155;Consultorio Medico Oftalmologico Vista;LIMA;LIMA;COMAS;LIMA NORTE;;;
2026;JUNIO;JUN;6;34209;Clinica Oftalmologica Ñahui Salud - Comas;LIMA;LIMA;COMAS;LIMA NORTE;1751;0;58
2026;JUNIO;JUN;6;25804;Opero;LIMA;LIMA;CERCADO;LIMA CENTRO;35;3;28
2026;JUNIO;JUN;6;22016;Clinica la Luz Oftalmologica;LIMA;LIMA;CERCADO;LIMA CENTRO;1945;17;13
2026;JUNIO;JUN;6;20976;Visual Center Clinica de Ojos;LIMA;LIMA;SAN MIGUEL;LIMA CENTRO;1626;40;110
2026;JUNIO;JUN;6;11741;Clinica Nortvision;LIMA;LIMA;PUEBLO LIBRE;LIMA CENTRO;379;29;22
2026;JUNIO;JUN;6;10669;Clinica Peruana para la Vision;LIMA;LIMA;JESUS MARIA;LIMA CENTRO;;;
